No.,Year,Population,Per capita income ,Total Cars on road ,Increase in Car (num),No of vehicles per 1000 population,Tax rate on EV (in%) ,Domestic(MU) energy ,Commercial(MU) energy ,Industrial(MU) energy ,PWW & Street Lighting(MU) enrgy ,Others(MU) energy ,Total(MU) energy ,Yearly Peak Load(MW),FOUR WHEELER (Invalid Carriage),HEAVY PASSENGER VEHICLE,LIGHT GOODS VEHICLE,LIGHT MOTOR VEHICLE,LIGHT PASSENGER VEHICLE,THREE WHEELER(T),TWO WHEELER(NT)
1,2003,14486000,27898,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,8,0,1
2,2004,14768000,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,0,0,1
3,2005,15054000,"63,877",0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0
4,2006,15347000,"69,128",4830136,"3,62,982",317,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2007,15645000,"76,243",5232426,"4,02,290",337,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,2008,15949000,"83,243",5627384,"3,94,958",356,8,0,0,0,0,0,0,0,0,0,0,66,0,0,464
7,2009,16258000,"91,845",6026561,"3,99,177",374,8,0,0,0,0,0,0,0,0,0,0,72,0,0,652
8,2010,16574000,"97,525",6466713,"4,40,152",393,8,0,0,0,0,0,0,4819,0,0,0,34,0,0,580
9,2011,16914000,"1,03,619",6947536,"4,80,823",415,8,"10,396","6,253",2989,748,"1,314","21,700",5028,0,0,0,38,0,0,703
10,2012,17292000,"1,85,001",7452985,"5,05,449",436,8,"10,796","5,569","2,989",870,"1,147","21,361",5642,0,0,0,17,0,0,352
11,2013,17670000,"1,92,220",7785608,"3,32,783",446,8,"11,609","6,786","3,064",838,"1,484","23,781",5653,0,0,3,40,5,0,67
12,2014,18047000,"2,00,702",8258274,"4,72,676",465,8,"12,386","6,814","3,068","1,007","1,202","24,477",5925,0,0,1,22,0,0,23
13,2015,18425000,"2,13,669",8827431,"5,69,147",491,8,"12,560","6,053","3,135","1,027","1,262","24,037",5846,0,0,2,52,0,"3,488",22
14,2016,18803000,"2,33,115",9704741,"8,77,310",530,8,"14,060","7,257","3,088","1,098","1,362","26,865",6261,2,0,12,66,4,"21,578",18
15,2017,19182000,"2,44,255",10382757,"6,78,016",556,8,"14,627","6,550","3,243","1,042","1,368","26,830",6526,0,0,11,69,68,"17,633",69
16,2018,19561000,"2,52,960",10986015,"6,03,258",598,8,"15,541","6,942","4,271","2,389",425,"29,568",7016,0,0,0,257,151,"20,238",254
17,2019,19940000,"2,57,597",11391551,"4,05,536",616,8,"16,253","7,606","3,597","2,185",625,"30,266",7409,0,0,1,193,259,"21,707","1,060"
18,2020,20319000,"2,60,559",11892877,"5,01,326",643,0,"16,360","5,314","2,819","1,106",666,"26,264",6314,0,0,0,443,442,"10,327","1,165"
19,2021,20703000,228162,12253350,"3,60,473",655,0,"16,330","5,920","3,127",944,"1,099","27,420",7323,0,30,19,"1,531",422,"16,245","7,555"
20,2022,21096000,244024,7917898,"-43,35,452",472,0,"17,779","6,970","3,104",971,"1,229","30,054",7695,1,399,6,"3,136","2,514","21,619","34,572"
21,2023,0,258941,7678685,0,0,0,o,o,o,o,o,o,7437,3,"1,121",326,"5,875","2,452","26,343","37,574"
22,2024,0,273687,8334104,0,0,0,o,o,o,o,o,o,8656,6,"1,036",602,"9,446","2,059","40,599","31,545"
